,counts,speed,std,link
2015-01-02 09:30:00,2.0,104.0,35.35533905932738,123007
2015-01-02 09:35:00,1.0,108.0,,123007
2015-01-02 09:40:00,3.0,129.0,16.64331697709324,123007
2015-01-02 09:45:00,1.0,100.0,,123007
2015-01-02 09:50:00,0.0,,,123007
2015-01-02 09:55:00,0.0,,,123007
2015-01-02 10:00:00,2.0,71.5,24.748737341529164,123007
2015-01-02 10:05:00,1.0,139.0,,123007
2015-01-02 10:10:00,3.0,87.0,20.8806130178211,123007
2015-01-02 10:15:00,1.0,110.0,,123007
2015-01-02 10:20:00,2.0,0.0,0.0,123007
2015-01-02 10:25:00,2.0,101.5,17.67766952966369,123007
2015-01-02 10:30:00,1.0,0.0,,123007
2015-01-02 10:35:00,1.0,113.0,,123007
2015-01-02 10:40:00,2.0,122.5,7.7781745930520225,123007
2015-01-02 10:45:00,0.0,,,123007
2015-01-02 10:50:00,2.0,83.5,13.435028842544403,123007
2015-01-02 10:55:00,1.0,168.0,,123007
2015-01-02 11:00:00,3.0,97.33333333333333,29.77135088190211,123007
2015-01-02 11:05:00,1.0,97.0,,123007
2015-01-02 11:10:00,1.0,65.0,,123007
2015-01-02 11:15:00,5.0,90.8,56.795246279948465,123007
2015-01-02 11:20:00,1.0,90.0,,123007
2015-01-02 11:25:00,3.0,98.66666666666667,20.744477176668816,123007
2015-01-02 11:30:00,2.0,68.0,16.97056274847714,123007
2015-01-02 11:35:00,1.0,113.0,,123007
2015-01-02 11:40:00,1.0,128.0,,123007
2015-01-02 11:45:00,2.0,117.0,1.4142135623730951,123007
2015-01-02 11:50:00,4.0,24.0,48.0,123007
2015-01-02 11:55:00,4.0,88.5,29.96108587262262,123007
2015-01-02 12:00:00,3.0,93.0,11.357816691600547,123007
2015-01-02 12:05:00,3.0,88.66666666666667,24.5017006212494,123007
2015-01-02 12:10:00,2.0,88.0,9.899494936611665,123007
2015-01-02 12:15:00,3.0,80.66666666666667,42.14656965084268,123007
2015-01-02 12:20:00,1.0,104.0,,123007
2015-01-02 12:25:00,0.0,,,123007
2015-01-02 12:30:00,3.0,97.66666666666667,24.419937209856485,123007
2015-01-02 12:35:00,3.0,101.66666666666667,25.423086620891123,123007
2015-01-02 12:40:00,1.0,100.0,,123007
2015-01-02 12:45:00,1.0,128.0,,123007
2015-01-02 12:50:00,0.0,,,123007
2015-01-02 12:55:00,2.0,111.0,11.313708498984761,123007
2015-01-02 13:00:00,0.0,,,123007
2015-01-02 13:05:00,1.0,108.0,,123007
